Occupation,Level1Id,DescriptionLevel1
"OFFICE BOY SAW",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CABDRIVER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
HOUSEKEEPER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GROCERS PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"OLD AGE PENSION PAINTER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DRYMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"HORSE KEPPER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CABDRIVER PENSIONED OLD AGE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PENSIONER OLD AGE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
FARRIER,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"RAILWAY ENGINE STOKER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
STOKER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
IRONER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"HOUSE WIFE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"NO TRADE PROPERTY OWNER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"NO TRADE OR PROFESSION",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TELEGRAPH MESSENGER G P O",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"TELEGRAPH MESSENGER G P O",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ELECTRICAL WIREMAN",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"LIFE ASSURANCE AGENTS",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"COSTUMIER AND DRESSMAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"PLUMBERS MATE",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"CERTIFICATED TEACHER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"BUTCHER'S ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"NURSE DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DOMESTIC PAINTER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"DOMESTIC SERVANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
TAILOR,15,"PERSONS WORKING AND DEALING IN DRESS"
"CAB DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
MILLINER,15,"PERSONS WORKING AND DEALING IN DRESS"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"REGISTRY ASSISTANT G P O",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"APPRENTICE DRESSMAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"DRAPERS ASSISTANT INCAPACITY OF SALESMAN",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"WORKING JEWELLER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
"JEWELLERS ASSISTANT",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
PRIVATE,11,"PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY"
BLOUSE-MAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"DISPENSER OF MEDICINES",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"MONTHLY NURSE",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"SHIRT MACHINIST",15,"PERSONS WORKING AND DEALING IN DRESS"
ELECTRICIAN,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
FISHMONGER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"DRESS MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"MOTOR TAXI DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"MOTOR ENGINEER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"CYCLE ENGINEER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PASTRY COOK",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
OILMAN,14,"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MOTOR OMNIBUS WASHER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"AT HOME",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"OUT OF WORK",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CLEANER MOTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"TELEPHONE WORKS",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"BLIND MAKER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"HACKNEY CARRIAGE DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"DRESSMAKER BODY AND HAND",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PIANOFORTE PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CLUB WAITRESS",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
PLUMBER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TRAIN LABELLER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PAINTER HOUSE",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"WAITER RESTAURANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SORTER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"BOOT SALESMAN",15,"PERSONS WORKING AND DEALING IN DRESS"
"TRAVELLER SURGICAL INSTRUMENT",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
HAIRDRESSER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DISPATCH CLERK PATENT MEDICINES",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
HOUSEWIFE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"KITCHEN MAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"JUNIOR CLERK RUSSIAN OILS ETC",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"CLOTHWORKER OR SHRINKER",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"LAVATORY ATTENDANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"DISTRICT MESSENGER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CLERK CIVIL SERVICE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"WIFELEY DUTIES AT HOME",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SHOP ASSISTANT BUTTERMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"REFRESHMENT ROOM WAITER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"DRESS MAKING",15,"PERSONS WORKING AND DEALING IN DRESS"
PAGE,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
STOREKEEPER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
WAITRESS,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"ARMY PENSIONER MUSICIAN",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
PACKER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"UNEMPLOYED HALL PORTER-CLUB",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"HOUSE WORK",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PORTER HOTEL",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"OLD AGE PENSIONERS",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"OLD AGE PENSIONERS",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"DRESS MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
WAREHOUSEMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
ENGINEER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
NIL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
NIL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
WAITER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
WAITER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"LAD PORTER RAILWAY GWR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
ACCOUNTANT,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
HOUSEWIFE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"SOLICITORS CLERK",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PHYSICIAN AND SURGEON",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"PRIVATE SCHOOL",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"PRIVATE SCHOOL",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"COOK DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"HOUSEMAID DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"BUILDER'S CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"PAWNBROKER'S ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"PARCEL CARMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
COMMISIONAIRE,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"DIPPER AND BURNISHER BRASS WORK",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"CABINET MAKER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"ART METAL WORKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"SHOP CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MILK CARRIER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"HOUSE WORK AT HOME",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DRAPER'S PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PRINTERS APPRENTICE",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MILK CARRIER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"VELLUM BINDER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"TELEPHONE OPERATOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY PAREELS MESSENGER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GLOVER'S SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
TAILOR,15,"PERSONS WORKING AND DEALING IN DRESS"
"PORTER CONFECTIONER'S",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"DOMESTIC SERVANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PORTER CONFECTIONER'S",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"STONE MASON",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"ERRAND GIRL",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GENERAL PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
LACEHAND,21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"CARMAN ICE MERCHANT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
CHEF,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PUBLISHER'S CLERK BOOKS",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"DAILY HOUSEMAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"MILK CARRIERS",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MILK CARRIER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DRESS MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
PLUMBER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TARPAULIN MAKER",14,"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"GROOM TO PRIVATE GENTLEMAN G G H",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PRINTER COMPOSITOR",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"GAS AND HOT WATER FITTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"HEAD POSTMAN G P O",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"WAITRESS EXPRESS DAIRY CO",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"WATERERS ASSISTANT",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"APPRENTICE MECHANICAL DENTISTRY",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOSIER PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"ERRAND BOY DYERS",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DRAPERS PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ATTENDANT AT PUBLIC LAVATORY",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GROCERS CARMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PALTELAYER RAILWAY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"BAKER JOURNEYMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
TAILORESS,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"DESPATCH CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
